,soil_moisture_%,soil_pH,pesticide_usage_ml,latitude,longitude,region_le,croptype_le,cropdisease_le,irrigation_type_le,fertilizer_type_le,sowing_month,sowing_season
0,35.95,5.99,6.34,14.970941,82.997689,2,4,0,2,2,1,1
1,19.74,7.24,9.6,16.613022,70.869009,4,3,2,3,0,2,1
2,29.32,7.16,15.26,19.503156,79.068206,4,4,0,0,1,2,1
3,17.33,6.03,25.8,31.071298,85.519998,0,1,2,3,2,2,1
4,19.37,5.92,25.65,16.56854,81.69172,0,0,3,2,1,2,1
5,44.91,5.78,24.0,23.227859,89.421568,0,2,2,3,1,1,1
6,36.28,7.04,39.29,25.224255,73.056785,2,3,2,1,1,3,2
7,27.1,5.72,47.61,23.317654,72.51521,1,1,0,3,1,1,1
8,40.54,6.35,49.78,13.025105,74.493947,0,3,0,1,0,3,2
9,10.25,6.92,35.1,24.405291,74.859945,1,2,3,3,0,1,1
10,13.39,6.36,23.12,14.755223,78.972271,3,4,1,0,2,2,1
11,40.61,5.65,46.69,31.61626,88.048857,4,2,2,0,2,1,1
12,42.43,7.07,13.55,28.699389,71.143305,4,1,0,2,2,1,1
13,12.8,5.87,31.75,23.069568,88.694125,2,3,1,3,1,3,2
14,23.85,6.84,49.93,13.311414,76.980177,3,1,0,2,1,1,1
15,15.52,7.17,41.77,16.611648,87.794254,0,1,0,0,1,2,1
16,31.17,6.94,33.54,25.927834,75.239105,0,1,3,0,2,2,1
17,13.92,7.39,10.74,32.473116,74.201531,1,4,2,3,0,2,1
18,40.94,6.31,6.12,16.670143,85.74749,0,3,2,3,0,3,2
19,16.99,7.34,19.77,19.99196,89.622994,4,2,2,3,0,1,1
20,16.25,7.43,32.28,16.368063,84.175706,2,1,0,1,0,3,2
21,12.45,6.83,18.92,13.182195,78.408927,0,0,0,1,1,2,1
22,20.53,6.6,24.88,33.9958,84.719229,1,3,1,1,0,3,2
23,21.73,7.14,16.02,20.361025,82.595308,1,3,3,0,2,2,1
24,18.54,6.81,12.91,32.93675,72.427172,4,0,3,2,2,3,2
25,30.84,7.4,38.46,16.932784,85.553497,1,3,0,2,2,2,1
26,12.71,6.07,36.23,23.565279,78.315485,0,0,3,3,0,3,2
27,43.11,5.54,43.41,22.205737,75.458706,4,3,3,1,0,2,1
28,35.35,7.18,33.92,19.477597,74.233206,0,0,3,0,2,1,1
29,18.83,5.66,6.81,13.809559,72.524419,0,0,0,0,1,1,1
30,36.84,5.84,31.04,19.916361,84.300294,4,1,0,1,2,2,1
31,39.76,6.7,21.68,30.558273,72.110777,2,1,3,2,1,3,2
32,16.16,6.54,42.16,33.365547,75.578565,3,0,3,2,0,3,2
33,33.39,6.17,17.58,22.915681,73.821128,1,3,3,1,0,3,2
34,36.54,6.88,36.13,20.637595,84.918709,4,3,3,3,0,2,1
35,18.8,5.74,14.74,24.919769,89.610213,0,1,1,3,2,2,1
36,16.28,5.53,44.08,21.734924,78.809376,3,1,2,3,1,2,1
37,13.99,5.63,49.73,29.392338,77.607561,0,0,1,1,2,1,1
38,20.69,6.74,34.72,10.066893,79.010074,1,0,1,3,0,1,1
39,20.08,6.07,10.16,11.785246,73.318456,2,2,1,3,0,1,1
40,26.4,6.11,38.05,30.898965,81.503982,4,4,1,0,0,3,2
41,36.71,5.85,41.64,26.753338,87.154662,1,4,3,2,1,1,1
42,38.47,6.6,42.12,11.355102,80.368788,0,0,3,2,1,1,1
43,17.12,6.6,12.13,34.806428,88.258598,4,4,2,3,1,3,2
44,42.64,6.08,11.51,31.600673,75.524948,3,0,3,2,1,1,1
45,19.35,5.51,29.24,21.383615,76.435547,0,3,0,3,0,2,1
46,18.17,7.05,40.66,22.557279,81.803609,1,0,3,2,1,3,2
47,41.87,5.53,33.05,31.483555,77.600188,2,3,3,1,0,2,1
48,31.61,5.97,36.68,11.149774,85.922869,1,4,1,0,1,1,1
49,18.55,6.32,35.74,16.349433,75.106534,4,2,3,2,1,2,1
50,15.53,6.38,43.04,19.534107,77.179183,0,3,1,1,0,1,1
51,19.61,6.63,39.91,25.522279,83.555289,2,0,0,2,0,1,1
52,20.81,6.38,14.04,30.761815,75.139402,2,4,3,2,2,3,2
53,38.15,6.44,21.46,19.214641,84.980232,0,1,3,2,1,2,1
54,33.62,6.44,42.07,11.13367,70.744243,0,4,2,0,1,3,2
55,41.05,5.77,38.4,25.391305,88.781061,2,2,1,2,1,1,1
56,25.56,5.97,22.92,12.291836,74.242116,3,0,2,1,2,1,1
