,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area_ISO3
0,Maize,1990,1485.0,121.0,16.37,ALB
1,Potatoes,1990,1485.0,121.0,16.37,ALB
2,"Rice, paddy",1990,1485.0,121.0,16.37,ALB
3,Sorghum,1990,1485.0,121.0,16.37,ALB
4,Soybeans,1990,1485.0,121.0,16.37,ALB
5,Wheat,1990,1485.0,121.0,16.37,ALB
6,Maize,1991,1485.0,121.0,15.36,ALB
7,Potatoes,1991,1485.0,121.0,15.36,ALB
8,"Rice, paddy",1991,1485.0,121.0,15.36,ALB
9,Sorghum,1991,1485.0,121.0,15.36,ALB
10,Soybeans,1991,1485.0,121.0,15.36,ALB
11,Wheat,1991,1485.0,121.0,15.36,ALB
12,Maize,1992,1485.0,121.0,16.06,ALB
13,Potatoes,1992,1485.0,121.0,16.06,ALB
14,"Rice, paddy",1992,1485.0,121.0,16.06,ALB
15,Sorghum,1992,1485.0,121.0,16.06,ALB
16,Soybeans,1992,1485.0,121.0,16.06,ALB
17,Wheat,1992,1485.0,121.0,16.06,ALB
18,Maize,1993,1485.0,121.0,16.05,ALB
19,Potatoes,1993,1485.0,121.0,16.05,ALB
20,"Rice, paddy",1993,1485.0,121.0,16.05,ALB
21,Soybeans,1993,1485.0,121.0,16.05,ALB
22,Wheat,1993,1485.0,121.0,16.05,ALB
23,Maize,1994,1485.0,201.0,16.96,ALB
24,Potatoes,1994,1485.0,201.0,16.96,ALB
25,Soybeans,1994,1485.0,201.0,16.96,ALB
26,Wheat,1994,1485.0,201.0,16.96,ALB
27,Maize,1995,1485.0,251.0,15.67,ALB
28,Potatoes,1995,1485.0,251.0,15.67,ALB
29,Soybeans,1995,1485.0,251.0,15.67,ALB
30,Wheat,1995,1485.0,251.0,15.67,ALB
31,Maize,1996,1485.0,313.96,15.64,ALB
32,Potatoes,1996,1485.0,313.96,15.64,ALB
33,Soybeans,1996,1485.0,313.96,15.64,ALB
34,Wheat,1996,1485.0,313.96,15.64,ALB
35,Maize,1997,1485.0,376.93,15.9,ALB
36,Potatoes,1997,1485.0,376.93,15.9,ALB
37,Soybeans,1997,1485.0,376.93,15.9,ALB
38,Wheat,1997,1485.0,376.93,15.9,ALB
39,Maize,1998,1485.0,439.89,16.27,ALB
40,Potatoes,1998,1485.0,439.89,16.27,ALB
41,Soybeans,1998,1485.0,439.89,16.27,ALB
