,Unnamed: 0,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,timestamp,latitude,longitude,NDVI_index,crop_disease_status,region_le,croptype_le,cropdisease_le,irrigation_type_le,fertilizer_type_le
0,0,North India,Wheat,35.95,5.99,17.79,75.62,77.03,7.27,None,Organic,6.34,2024-01-08,2024-05-09,122,4408.07,2024-03-19,14.970941,82.997689,0.63,Mild,2,4,0,2,2
1,1,South USA,Soybean,19.74,7.24,30.18,89.91,61.13,5.67,Sprinkler,Inorganic,9.6,2024-02-04,2024-05-26,112,5389.98,2024-04-21,16.613022,70.869009,0.58,None,4,3,2,3,0
2,2,South USA,Wheat,29.32,7.16,27.37,265.43,68.87,8.23,Drip,Mixed,15.26,2024-02-03,2024-06-26,144,2931.16,2024-02-28,19.503156,79.068206,0.8,Mild,4,4,0,0,1
3,3,Central USA,Maize,17.33,6.03,33.73,212.01,70.46,5.03,Sprinkler,Organic,25.8,2024-02-21,2024-07-04,134,4227.8,2024-05-14,31.071298,85.519998,0.44,None,0,1,2,3,2
4,4,Central USA,Cotton,19.37,5.92,33.86,269.09,55.73,7.93,None,Mixed,25.65,2024-02-05,2024-05-20,105,4979.96,2024-04-13,16.56854,81.69172,0.84,Severe,0,0,3,2,1
5,5,Central USA,Rice,44.91,5.78,24.87,238.95,83.06,4.92,Sprinkler,Mixed,24.0,2024-01-13,2024-05-06,114,4383.55,2024-03-12,23.227859,89.421568,0.82,None,0,2,2,3,1
6,6,North India,Soybean,36.28,7.04,21.8,123.38,47.91,4.02,Manual,Mixed,39.29,2024-03-04,2024-07-27,145,4501.2,2024-07-11,25.224255,73.056785,0.76,None,2,3,2,1,1
7,7,East Africa,Maize,27.1,5.72,22.26,296.33,80.34,5.44,Sprinkler,Mixed,47.61,2024-01-24,2024-05-24,121,5264.09,2024-04-30,23.317654,72.51521,0.7,Mild,1,1,0,3,1
8,8,Central USA,Soybean,40.54,6.35,19.24,184.82,76.5,5.21,Manual,Inorganic,49.78,2024-03-12,2024-07-08,118,5598.46,2024-05-08,13.025105,74.493947,0.5,Mild,0,3,0,1,0
9,9,East Africa,Rice,10.25,6.92,16.18,66.85,41.57,5.98,Sprinkler,Inorganic,35.1,2024-01-18,2024-04-25,98,4893.41,2024-03-31,24.405291,74.859945,0.58,Severe,1,2,3,3,0
10,10,South India,Wheat,13.39,6.36,23.47,166.76,76.45,8.04,Drip,Organic,23.12,2024-02-26,2024-07-20,145,2437.08,2024-04-15,14.755223,78.972271,0.55,Moderate,3,4,1,0,2
11,11,South USA,Rice,40.61,5.65,31.16,263.99,44.9,7.91,Drip,Organic,46.69,2024-01-06,2024-05-01,116,3942.56,2024-02-02,31.61626,88.048857,0.4,None,4,2,2,0,2
12,12,South USA,Maize,42.43,7.07,20.7,224.15,76.53,8.7,None,Organic,13.55,2024-01-02,2024-05-08,127,4942.95,2024-01-17,28.699389,71.143305,0.65,Mild,4,1,0,2,2
13,13,North India,Soybean,12.8,5.87,26.9,218.8,51.76,4.72,Sprinkler,Mixed,31.75,2024-03-03,2024-06-27,116,4629.49,2024-05-14,23.069568,88.694125,0.42,Moderate,2,3,1,3,1
14,14,South India,Maize,23.85,6.84,21.0,129.04,77.59,4.44,None,Mixed,49.93,2024-01-03,2024-05-06,124,2852.62,2024-02-05,13.311414,76.980177,0.34,Mild,3,1,0,2,1
15,15,Central USA,Maize,15.52,7.17,29.07,202.92,89.36,7.92,Drip,Mixed,41.77,2024-02-22,2024-05-28,96,5755.72,2024-03-10,16.611648,87.794254,0.75,Mild,0,1,0,0,1
16,16,Central USA,Maize,31.17,6.94,19.07,208.56,53.2,6.93,Drip,Organic,33.54,2024-02-02,2024-05-02,90,3334.23,2024-02-18,25.927834,75.239105,0.74,Severe,0,1,3,0,2
17,17,East Africa,Wheat,13.92,7.39,28.82,87.26,41.8,6.22,Sprinkler,Inorganic,10.74,2024-02-12,2024-07-08,147,5732.35,2024-02-22,32.473116,74.201531,0.45,None,1,4,2,3,0
18,18,Central USA,Soybean,40.94,6.31,27.41,88.64,86.49,9.19,Sprinkler,Inorganic,6.12,2024-03-11,2024-07-29,140,5723.26,2024-05-13,16.670143,85.74749,0.36,None,0,3,2,3,0
19,19,South USA,Rice,16.99,7.34,21.99,255.13,83.57,5.34,Sprinkler,Inorganic,19.77,2024-01-25,2024-05-11,107,3404.58,2024-03-30,19.99196,89.622994,0.62,None,4,2,2,3,0
20,20,North India,Maize,16.25,7.43,20.31,77.1,61.73,8.37,Manual,Inorganic,32.28,2024-03-04,2024-06-26,114,5598.02,2024-03-28,16.368063,84.175706,0.3,Mild,2,1,0,1,0
21,21,Central USA,Cotton,12.45,6.83,21.6,128.48,82.4,8.32,Manual,Mixed,18.92,2024-02-11,2024-06-05,115,4788.83,2024-04-21,13.182195,78.408927,0.86,Mild,0,0,0,1,1
22,22,East Africa,Soybean,20.53,6.6,15.01,121.73,61.49,7.48,Manual,Inorganic,24.88,2024-03-07,2024-07-07,122,3892.74,2024-06-30,33.9958,84.719229,0.7,Moderate,1,3,1,1,0
23,23,East Africa,Soybean,21.73,7.14,30.02,218.2,51.23,5.19,Drip,Organic,16.02,2024-02-20,2024-07-13,144,5073.96,2024-06-15,20.361025,82.595308,0.42,Severe,1,3,3,0,2
24,24,South USA,Cotton,18.54,6.81,15.11,237.74,78.5,4.64,None,Organic,12.91,2024-03-17,2024-07-14,119,2200.87,2024-04-17,32.93675,72.427172,0.38,Severe,4,0,3,2,2
25,25,East Africa,Soybean,30.84,7.4,32.83,203.16,75.96,7.03,None,Organic,38.46,2024-02-15,2024-05-31,106,5007.11,2024-05-06,16.932784,85.553497,0.59,Mild,1,3,0,2,2
26,26,Central USA,Cotton,12.71,6.07,20.43,129.93,67.01,4.83,Sprinkler,Inorganic,36.23,2024-03-07,2024-06-09,94,3659.47,2024-04-18,23.565279,78.315485,0.42,Severe,0,0,3,3,0
27,27,South USA,Soybean,43.11,5.54,32.61,193.92,63.85,9.66,Manual,Inorganic,43.41,2024-02-18,2024-07-04,137,4938.54,2024-04-14,22.205737,75.458706,0.59,Severe,4,3,3,1,0
