iter	RMSE
0	8.300690701
1	8.109336495
2	7.930995854
3	7.755598366
4	7.588478506
5	7.423460626
6	7.270877632
7	7.126579684
8	6.988825415
9	6.845370714
10	6.712560641
11	6.574290997
12	6.449206046
13	6.324003557
14	6.209412382
15	6.095760199
16	5.982193684
17	5.874734202
18	5.771847655
19	5.683342552
20	5.58975391
21	5.489062469
22	5.401872963
23	5.316610726
24	5.236379551
25	5.150297173
26	5.073865614
27	5.001897642
28	4.932382471
29	4.865048708
30	4.803472691
31	4.740481165
32	4.671377915
33	4.596825066
34	4.533556531
35	4.463177213
36	4.393359958
37	4.328414283
38	4.266431606
39	4.205184524
40	4.143320069
41	4.09328938
42	4.038864844
43	3.991279524
44	3.943067602
45	3.896148747
46	3.844654651
47	3.805903147
48	3.758991327
49	3.720799975
50	3.681597636
51	3.644828457
52	3.607553824
53	3.568145088
54	3.54007594
55	3.505391273
56	3.472997415
57	3.442460202
58	3.414320514
59	3.386565091
60	3.359482806
61	3.33465072
62	3.315322655
63	3.28347147
64	3.256828914
65	3.23027463
66	3.206007543
67	3.18178337
68	3.159753277
69	3.137445625
70	3.114330896
71	3.095053085
72	3.07607537
73	3.05425989
74	3.036992929
75	3.019743316
76	3.004360339
77	2.988722392
78	2.97396892
79	2.957162526
80	2.943048062
81	2.927701143
82	2.913495646
83	2.898286821
84	2.887674212
85	2.871474278
86	2.853353914
87	2.842073222
88	2.832530037
89	2.820138725
90	2.809094091
91	2.796458426
92	2.786749445
93	2.773362556
94	2.764587307
95	2.756427
96	2.746095392
97	2.737817435
98	2.7261992
99	2.714906678
100	2.706333918
101	2.690030946
102	2.681021051
103	2.67121383
104	2.658886658
105	2.645831244
106	2.639239459
107	2.62752763
108	2.620668389
109	2.608266452
110	2.599204369
111	2.594622373
112	2.585717505
113	2.58045629
114	2.570906084
115	2.565604869
116	2.559952503
117	2.554554804
118	2.544624555
119	2.535966856
120	2.530595877
121	2.5268224
122	2.519063207
123	2.510802779
124	2.501652782
125	2.497362421
126	2.49031171
127	2.483028533
128	2.477074784
129	2.470325839
130	2.462984635
131	2.452675682
132	2.446253208
133	2.442407731
134	2.437405262
135	2.432349703
136	2.429432679
137	2.425482229
138	2.418571467
139	2.411897365
140	2.40695629
141	2.402630377
142	2.399300749
143	2.393066428
144	2.389256126
145	2.382629836
146	2.376523261
147	2.372712252
148	2.367908283
149	2.360688561
150	2.357563525
151	2.352462779
152	2.347425921
153	2.345480414
154	2.341477668
155	2.336307538
156	2.330640585
157	2.324204412
158	2.31834552
159	2.312559682
160	2.30936965
161	2.304602624
162	2.29952167
163	2.296694209
164	2.29110756
165	2.284840279
166	2.281513851
167	2.278736174
168	2.273668618
169	2.271495385
170	2.267566669
171	2.264512388
172	2.26041496
173	2.254726713
174	2.251331222
175	2.248636487
176	2.243771794
177	2.242098729
178	2.240101634
179	2.236731977
180	2.232175976
181	2.228671472
182	2.226898921
183	2.22383716
184	2.222029738
185	2.217289465
186	2.214685809
187	2.210903312
188	2.209417438
189	2.206638057
190	2.202284138
191	2.199186529
192	2.196747128
193	2.193052354
194	2.189181402
195	2.186023018
196	2.182352929
197	2.178507488
198	2.175097393
199	2.171370899
200	2.165422534
201	2.163803224
202	2.162095225
203	2.158458494
204	2.153881009
205	2.149248699
206	2.145700378
207	2.143935448
208	2.141856425
209	2.139963778
210	2.138173705
211	2.136066376
212	2.132808908
213	2.12956629
214	2.126923931
215	2.124680984
216	2.121472439
217	2.117454158
218	2.115284213
219	2.111626538
220	2.108734241
221	2.106102775
222	2.103110996
223	2.101489472
224	2.09859228
225	2.094798908
226	2.090315217
227	2.08698324
228	2.085350568
229	2.081945052
230	2.07950368
231	2.07615457
232	2.075240956
233	2.070469877
234	2.066648147
235	2.063715149
236	2.061030803
237	2.059457601
238	2.057301893
239	2.055165818
240	2.051792367
241	2.050309558
242	2.048586585
243	2.045615059
244	2.042837531
245	2.0406146
246	2.039326345
247	2.036224518
248	2.03448149
249	2.03317699
250	2.030827731
251	2.02632182
252	2.024014312
253	2.021410013
254	2.019262275
255	2.016262721
256	2.014190181
257	2.011784191
258	2.010115438
259	2.007735357
260	2.004999182
261	2.002729562
262	1.999935603
263	1.997730395
264	1.995209859
265	1.99125434
266	1.990240391
267	1.988291478
268	1.985383187
269	1.981396433
270	1.977962646
271	1.974172924
272	1.972803713
273	1.970012284
274	1.966803762
275	1.965138507
276	1.962301722
277	1.959180954
278	1.957887646
279	1.956200075
280	1.95278273
281	1.950613143
282	1.947540204
283	1.94434195
284	1.940649899
285	1.937463078
286	1.935080163
287	1.933096798
288	1.931802045
289	1.930176663
290	1.9287651
291	1.926701084
292	1.924195787
293	1.922772699
294	1.921022294
