iter	Passed	Remaining
0	41	125650
1	91	137793
2	124	124725
3	162	122007
4	200	120083
5	239	119715
6	277	118440
7	325	121658
8	365	121601
9	400	119701
10	436	118587
11	478	119029
12	519	119363
13	560	119616
14	599	119279
15	639	119245
16	680	119399
17	720	119364
18	761	119515
19	800	119277
20	840	119233
21	880	119196
22	920	119090
23	961	119270
24	1000	119076
25	1041	119097
26	1086	119597
27	1127	119632
28	1168	119710
29	1206	119462
30	1248	119598
31	1286	119302
32	1328	119415
33	1366	119186
34	1406	119117
35	1442	118735
36	1478	118431
37	1513	117991
38	1548	117529
39	1584	117284
40	1617	116749
41	1652	116365
42	1687	116035
43	1721	115680
44	1757	115381
45	1793	115162
46	1828	114863
47	1863	114582
48	1898	114312
49	1933	114058
50	1971	113997
51	2010	113969
52	2046	113800
53	2084	113720
54	2119	113503
55	2168	114015
56	2203	113762
57	2238	113544
58	2275	113443
59	2312	113329
60	2348	113159
61	2383	112969
62	2419	112778
63	2454	112608
64	2488	112378
65	2526	112323
66	2562	112168
67	2598	112026
68	2634	111900
69	2671	111837
70	2708	111729
71	2743	111575
72	2780	111500
73	2817	111407
74	2852	111246
75	2887	111084
76	2923	110976
77	2959	110872
78	2995	110751
79	3032	110677
80	3066	110501
81	3100	110342
82	3135	110202
83	3172	110124
84	3207	110013
85	3249	110094
86	3285	110011
87	3323	109976
88	3360	109925
89	3399	109915
90	3435	109838
91	3487	110249
92	3528	110308
93	3570	110385
94	3620	110721
95	3662	110805
96	3699	110724
97	3736	110643
98	3774	110599
99	3813	110593
100	3854	110647
101	3894	110639
102	3934	110672
103	3975	110701
104	4012	110628
105	4055	110709
106	4093	110677
107	4133	110682
108	4174	110724
109	4212	110673
110	4264	110992
111	4308	111094
112	4344	110992
113	4383	110979
114	4422	110950
115	4459	110880
116	4497	110830
117	4536	110803
118	4575	110776
119	4632	111189
120	4678	111316
121	4722	111396
122	4766	111488
123	4812	111617
124	4851	111580
125	4893	111611
126	4934	111623
127	4975	111627
128	5017	111670
129	5068	111907
130	5117	112086
131	5158	112079
132	5199	112087
133	5240	112082
134	5283	112125
135	5329	112228
136	5378	112405
137	5422	112448
138	5463	112452
139	5507	112503
140	5548	112503
141	5585	112413
142	5624	112364
143	5660	112274
144	5698	112209
145	5740	112213
146	5780	112189
147	5854	112815
148	5900	112903
149	5938	112823
150	5978	112791
151	6019	112783
152	6064	112846
153	6110	112926
154	6156	112997
155	6199	113026
156	6242	113037
157	6288	113120
158	6333	113165
159	6379	113230
160	6427	113343
161	6469	113338
162	6513	113373
163	6566	113551
164	6608	113551
165	6654	113607
166	6697	113609
167	6740	113621
168	6783	113635
169	6826	113639
170	6868	113623
171	6908	113595
172	6948	113548
173	6988	113502
174	7039	113637
175	7084	113678
176	7122	113600
177	7159	113514
178	7198	113447
179	7237	113380
180	7274	113304
181	7314	113258
182	7352	113180
183	7404	113325
184	7449	113347
185	7491	113337
186	7549	113569
187	7608	113797
188	7668	114060
189	7729	114315
190	7785	114493
191	7833	114559
192	7875	114545
193	7917	114517
194	7958	114483
195	7997	114413
196	8034	114323
197	8071	114218
198	8106	114103
199	8145	114031
200	8182	113945
201	8222	113899
202	8271	113967
203	8324	114092
204	8374	114179
205	8426	114288
206	8474	114338
207	8523	114416
208	8574	114502
209	8624	114578
210	8674	114655
211	8723	114725
212	8774	114814
213	8825	114895
214	8875	114974
215	8927	115069
216	8978	115147
217	9027	115202
218	9076	115264
219	9125	115307
220	9173	115350
221	9220	115386
222	9274	115492
223	9325	115563
224	9376	115644
225	9427	115712
226	9476	115761
227	9525	115805
228	9575	115865
229	9624	115915
230	9674	115966
231	9724	116022
232	9775	116092
233	9824	116129
234	9873	116176
235	9924	116236
236	9974	116281
237	10023	116321
238	10071	116346
239	10118	116367
240	10168	116407
241	10218	116455
242	10267	116489
243	10320	116573
244	10369	116608
245	10420	116663
246	10471	116715
247	10522	116763
248	10573	116815
249	10623	116855
250	10675	116918
251	10725	116956
252	10776	117006
253	10826	117047
254	10876	117085
255	10925	117105
256	10975	117141
257	11025	117177
258	11075	117212
259	11126	117252
260	11176	117293
261	11227	117331
262	11276	117357
263	11328	117408
264	11378	117437
265	11429	117470
266	11478	117489
267	11529	117531
268	11579	117555
269	11627	117571
270	11677	117597
271	11727	117619
272	11776	117640
273	11827	117665
274	11876	117682
275	11924	117692
276	11972	117694
277	12022	117717
278	12072	117743
279	12125	117789
280	12175	117810
281	12225	117835
282	12277	117871
283	12327	117891
284	12378	117920
285	12429	117945
286	12479	117972
287	12529	117989
288	12579	118007
289	12629	118024
290	12677	118018
291	12727	118031
292	12774	118027
293	12823	118030
294	12872	118034
295	12922	118046
296	12972	118061
297	13023	118087
298	13071	118083
299	13119	118078
300	13168	118082
301	13220	118104
302	13268	118100
303	13319	118120
304	13371	118154
305	13420	118156
306	13469	118157
307	13519	118166
308	13571	118186
309	13623	118215
310	13675	118245
311	13725	118253
312	13774	118251
313	13822	118239
314	13871	118238
315	13925	118282
316	13974	118273
317	14028	118313
318	14078	118321
319	14128	118328
320	14177	118324
321	14228	118335
322	14276	118326
323	14328	118340
324	14377	118338
325	14429	118355
326	14477	118343
327	14529	118365
328	14578	118354
329	14627	118349
330	14676	118345
331	14726	118344
332	14775	118335
333	14824	118325
334	14872	118311
335	14923	118323
336	14974	118328
337	15025	118335
338	15096	118501
339	15148	118511
340	15195	118490
341	15243	118472
342	15292	118459
343	15344	118470
344	15394	118471
345	15445	118475
346	15494	118460
347	15543	118450
348	15593	118451
349	15643	118444
350	15692	118431
351	15741	118420
352	15790	118409
353	15842	118416
354	15891	118402
355	15948	118446
356	15996	118428
357	16045	118413
358	16099	118436
359	16147	118413
360	16196	118403
361	16245	118386
362	16295	118381
363	16350	118406
364	16400	118397
365	16450	118390
366	16502	118392
367	16549	118362
368	16601	118370
369	16648	118342
370	16699	118338
371	16750	118332
372	16799	118320
373	16847	118294
374	16896	118272
375	16946	118264
376	16996	118255
377	17046	118243
378	17095	118228
379	17144	118209
380	17193	118191
381	17242	118169
382	17290	118146
383	17340	118130
384	17390	118119
385	17439	118103
386	17491	118100
387	17540	118081
388	17590	118068
389	17641	118059
390	17690	118040
391	17743	118046
392	17792	118025
393	17841	118007
394	17890	117986
395	17938	117957
396	17988	117942
397	18037	117920
398	18088	117912
399	18137	117890
400	18186	117869
401	18236	117857
402	18286	117840
403	18336	117827
404	18389	117827
405	18438	117805
406	18485	117769
407	18534	117751
408	18585	117738
409	18634	117715
410	18684	117697
411	18738	117704
412	18788	117687
413	18835	117654
414	18884	117627
415	18934	117613
416	18982	117579
417	19030	117551
418	19076	117511
419	19127	117494
420	19176	117470
421	19225	117446
422	19273	117418
423	19324	117403
424	19370	117363
425	19417	117326
426	19468	117311
427	19519	117302
428	19570	117288
429	19620	117265
430	19669	117240
431	19719	117220
432	19768	117196
433	19817	117172
434	19874	117193
435	19924	117171
436	19972	117140
437	20020	117106
438	20069	117078
439	20118	117053
440	20170	117042
441	20218	117009
442	20275	117031
443	20357	117193
444	20417	117229
445	20487	117320
446	20550	117374
447	20602	117360
448	20654	117349
449	20713	117378
450	20769	117385
451	20824	117390
452	20876	117378
453	20932	117387
454	20987	117391
455	21039	117375
456	21093	117377
457	21143	117351
458	21191	117314
459	21241	117287
460	21301	117318
461	21363	117362
462	21435	117455
463	21492	117470
464	21544	117452
465	21596	117437
466	21647	117417
467	21699	117398
468	21756	117409
469	21811	117408
470	21858	117369
471	21907	117337
472	21960	117323
473	22008	117285
474	22058	117257
475	22109	117235
476	22160	117213
477	22210	117187
478	22262	117166
479	22311	117137
480	22363	117118
481	22412	117082
482	22462	117057
483	22512	117027
484	22561	116993
485	22611	116964
486	22661	116938
487	22710	116901
488	22761	116880
489	22809	116842
490	22860	116816
491	22911	116791
492	22962	116766
493	23016	116758
494	23071	116756
495	23125	116748
496	23180	116740
497	23234	116730
498	23287	116716
499	23340	116704
500	23398	116709
501	23467	116778
502	23527	116793
503	23591	116834
504	23657	116881
505	23725	116937
506	23790	116981
507	23862	117059
508	23936	117143
509	23992	117137
510	24044	117118
511	24097	117101
512	24155	117103
513	24216	117122
514	24277	117142
515	24342	117181
516	24400	117186
517	24476	117280
518	24552	117369
519	24611	117378
520	24677	117420
521	24732	117409
522	24788	117401
523	24845	117402
524	24901	117394
525	24956	117380
526	25005	117341
527	25053	117294
528	25103	117260
529	25154	117229
530	25214	117240
531	25264	117203
532	25316	117177
533	25369	117156
534	25418	117114
535	25473	117100
536	25528	117086
537	25589	117104
538	25644	117091
539	25701	117085
540	25754	117060
541	25803	117021
542	25866	117043
543	25933	117083
544	25990	117077
545	26039	117036
546	26087	116989
547	26135	116940
548	26183	116894
549	26227	116833
550	26275	116787
551	26324	116743
552	26374	116704
553	26424	116666
554	26475	116634
555	26523	116588
556	26572	116547
557	26620	116501
558	26669	116457
559	26719	116421
560	26768	116379
561	26817	116336
562	26868	116304
563	26919	116267
564	26979	116274
565	27042	116292
566	27095	116268
567	27146	116232
568	27193	116183
569	27244	116148
570	27296	116115
571	27350	116095
572	27412	116110
573	27471	116106
574	27523	116076
575	27572	116032
576	27621	115989
577	27670	115948
578	27719	115905
579	27769	115867
580	27817	115817
581	27868	115784
582	27917	115738
583	27968	115703
584	28018	115666
585	28068	115625
586	28114	115569
587	28163	115526
588	28212	115485
589	28261	115440
590	28311	115401
591	28361	115360
592	28409	115314
593	28460	115278
594	28510	115238
595	28559	115194
596	28608	115151
597	28658	115115
598	28710	115081
599	28759	115036
600	28808	114994
601	28856	114945
602	28904	114898
603	28953	114854
604	29006	114826
605	29058	114796
606	29107	114751
607	29157	114711
608	29205	114664
609	29252	114612
610	29301	114566
611	29349	114519
